"cod_ibge";"regiao";"uf";"municipio";"total";"ano"
"1100015";"Norte";"RO";"Alta Floresta D'Oeste";1;2012
"1100023";"Norte";"RO";"Ariquemes";14;2012
"1100049";"Norte";"RO";"Cacoal";12;2012
"1100056";"Norte";"RO";"Cerejeiras";3;2012
"1100064";"Norte";"RO";"Colorado do Oeste";2;2012
"1100080";"Norte";"RO";"Costa Marques";2;2012
"1100098";"Norte";"RO";"Espigão D'Oeste";1;2012
"1100106";"Norte";"RO";"Guajará-Mirim";3;2012
"1100114";"Norte";"RO";"Jaru";6;2012
"1100122";"Norte";"RO";"Ji-Paraná";10;2012
"1100155";"Norte";"RO";"Ouro Preto do Oeste";3;2012
"1100189";"Norte";"RO";"Pimenta Bueno";3;2012
"1100205";"Norte";"RO";"Porto Velho";270;2012
"1100254";"Norte";"RO";"Presidente Médici";1;2012
"1100288";"Norte";"RO";"Rolim de Moura";3;2012
"1100304";"Norte";"RO";"Vilhena";26;2012
"1100320";"Norte";"RO";"São Miguel do Guaporé";2;2012
"1100452";"Norte";"RO";"Buritis";2;2012
"1100700";"Norte";"RO";"Campo Novo de Rondônia";1;2012
"1100809";"Norte";"RO";"Candeias do Jamari";1;2012
"1100940";"Norte";"RO";"Cujubim";1;2012
"1101005";"Norte";"RO";"Governador Jorge Teixeira";1;2012
"1101104";"Norte";"RO";"Itapuã do Oeste";2;2012
"1101203";"Norte";"RO";"Ministro Andreazza";1;2012
"1101302";"Norte";"RO";"Mirante da Serra";1;2012
"1200013";"Norte";"AC";"Acrelândia";2;2012
"1200054";"Norte";"AC";"Assis Brasil";1;2012
"1200104";"Norte";"AC";"Brasiléia";7;2012
"1200179";"Norte";"AC";"Capixaba";1;2012
"1200203";"Norte";"AC";"Cruzeiro do Sul";37;2012
"1200252";"Norte";"AC";"Epitaciolândia";1;2012
"1200302";"Norte";"AC";"Feijó";11;2012
"1200328";"Norte";"AC";"Jordão";9;2012
"1200336";"Norte";"AC";"Mâncio Lima";1;2012
"1200344";"Norte";"AC";"Manoel Urbano";4;2012
"1200351";"Norte";"AC";"Marechal Thaumaturgo";3;2012
"1200393";"Norte";"AC";"Porto Walter";3;2012
"1200401";"Norte";"AC";"Rio Branco";169;2012
"1200427";"Norte";"AC";"Rodrigues Alves";2;2012
"1200435";"Norte";"AC";"Santa Rosa do Purus";5;2012
"1200500";"Norte";"AC";"Sena Madureira";9;2012
"1200609";"Norte";"AC";"Tarauacá";23;2012
"1200708";"Norte";"AC";"Xapuri";1;2012
"1300029";"Norte";"AM";"Alvarães";4;2012
"1300060";"Norte";"AM";"Amaturá";5;2012
"1300086";"Norte";"AM";"Anamã";1;2012
"1300102";"Norte";"AM";"Anori";3;2012
"1300144";"Norte";"AM";"Apuí";5;2012
"1300201";"Norte";"AM";"Atalaia do Norte";6;2012
"1300300";"Norte";"AM";"Autazes";5;2012
"1300409";"Norte";"AM";"Barcelos";16;2012
"1300508";"Norte";"AM";"Barreirinha";4;2012
"1300607";"Norte";"AM";"Benjamin Constant";22;2012
"1300631";"Norte";"AM";"Beruri";3;2012
"1300706";"Norte";"AM";"Boca do Acre";6;2012
"1300805";"Norte";"AM";"Borba";5;2012
"1300904";"Norte";"AM";"Canutama";1;2012
"1301001";"Norte";"AM";"Carauari";22;2012
"1301100";"Norte";"AM";"Careiro";4;2012
"1301159";"Norte";"AM";"Careiro da Várzea";1;2012
"1301209";"Norte";"AM";"Coari";16;2012
"1301308";"Norte";"AM";"Codajás";6;2012
"1301407";"Norte";"AM";"Eirunepé";32;2012
"1301506";"Norte";"AM";"Envira";6;2012
"1301605";"Norte";"AM";"Fonte Boa";8;2012
"1301654";"Norte";"AM";"Guajará";3;2012
"1301704";"Norte";"AM";"Humaitá";4;2012
"1301803";"Norte";"AM";"Ipixuna";1;2012
"1301852";"Norte";"AM";"Iranduba";2;2012
"1301902";"Norte";"AM";"Itacoatiara";17;2012
"1301951";"Norte";"AM";"Itamarati";3;2012
"1302009";"Norte";"AM";"Itapiranga";4;2012
"1302108";"Norte";"AM";"Japurá";3;2012
"1302207";"Norte";"AM";"Juruá";3;2012
"1302306";"Norte";"AM";"Jutaí";7;2012
"1302405";"Norte";"AM";"Lábrea";18;2012
"1302504";"Norte";"AM";"Manacapuru";14;2012
"1302603";"Norte";"AM";"Manaus";689;2012
"1302702";"Norte";"AM";"Manicoré";10;2012
"1302801";"Norte";"AM";"Maraã";3;2012
"1302900";"Norte";"AM";"Maués";21;2012
"1303007";"Norte";"AM";"Nhamundá";1;2012
"1303106";"Norte";"AM";"Nova Olinda do Norte";7;2012
"1303205";"Norte";"AM";"Novo Airão";1;2012
"1303304";"Norte";"AM";"Novo Aripuanã";4;2012
"1303403";"Norte";"AM";"Parintins";33;2012
"1303502";"Norte";"AM";"Pauini";5;2012
"1303569";"Norte";"AM";"Rio Preto da Eva";4;2012
"1303601";"Norte";"AM";"Santa Isabel do Rio Negro";9;2012
