"cod_ibge";"regiao";"uf";"municipio";"total";"ano"
"1100015";"Norte";"RO";"Alta Floresta D'Oeste";3;2011
"1100023";"Norte";"RO";"Ariquemes";15;2011
"1100049";"Norte";"RO";"Cacoal";14;2011
"1100056";"Norte";"RO";"Cerejeiras";2;2011
"1100072";"Norte";"RO";"Corumbiara";1;2011
"1100080";"Norte";"RO";"Costa Marques";1;2011
"1100098";"Norte";"RO";"Espigão D'Oeste";6;2011
"1100106";"Norte";"RO";"Guajará-Mirim";5;2011
"1100114";"Norte";"RO";"Jaru";2;2011
"1100122";"Norte";"RO";"Ji-Paraná";10;2011
"1100130";"Norte";"RO";"Machadinho D'Oeste";1;2011
"1100148";"Norte";"RO";"Nova Brasilândia D'Oeste";1;2011
"1100155";"Norte";"RO";"Ouro Preto do Oeste";6;2011
"1100189";"Norte";"RO";"Pimenta Bueno";6;2011
"1100205";"Norte";"RO";"Porto Velho";254;2011
"1100254";"Norte";"RO";"Presidente Médici";1;2011
"1100288";"Norte";"RO";"Rolim de Moura";4;2011
"1100296";"Norte";"RO";"Santa Luzia D'Oeste";1;2011
"1100304";"Norte";"RO";"Vilhena";21;2011
"1100320";"Norte";"RO";"São Miguel do Guaporé";1;2011
"1100346";"Norte";"RO";"Alvorada D'Oeste";1;2011
"1100379";"Norte";"RO";"Alto Alegre dos Parecis";1;2011
"1100452";"Norte";"RO";"Buritis";3;2011
"1100809";"Norte";"RO";"Candeias do Jamari";2;2011
"1100940";"Norte";"RO";"Cujubim";1;2011
"1101500";"Norte";"RO";"Seringueiras";2;2011
"1200013";"Norte";"AC";"Acrelândia";1;2011
"1200054";"Norte";"AC";"Assis Brasil";1;2011
"1200104";"Norte";"AC";"Brasiléia";7;2011
"1200203";"Norte";"AC";"Cruzeiro do Sul";39;2011
"1200302";"Norte";"AC";"Feijó";12;2011
"1200328";"Norte";"AC";"Jordão";16;2011
"1200336";"Norte";"AC";"Mâncio Lima";1;2011
"1200344";"Norte";"AC";"Manoel Urbano";1;2011
"1200385";"Norte";"AC";"Plácido de Castro";2;2011
"1200401";"Norte";"AC";"Rio Branco";155;2011
"1200435";"Norte";"AC";"Santa Rosa do Purus";4;2011
"1200500";"Norte";"AC";"Sena Madureira";12;2011
"1200609";"Norte";"AC";"Tarauacá";21;2011
"1200708";"Norte";"AC";"Xapuri";2;2011
