"codigo";"municipio";"total";"ano"
"110001";"Alta Floresta D'Oeste";5;"2010"
"110002";"Ariquemes";29;"2010"
"110004";"Cacoal";14;"2010"
"110006";"Colorado do Oeste";2;"2010"
"110007";"Corumbiara";1;"2010"
"110008";"Costa Marques";1;"2010"
"110009";"Espigão D'Oeste";3;"2010"
"110010";"Guajará-Mirim";13;"2010"
"110011";"Jaru";8;"2010"
"110012";"Ji-Paraná";31;"2010"
"110013";"Machadinho D'Oeste";2;"2010"
"110014";"Nova Brasilândia D'Oeste";3;"2010"
"110015";"Ouro Preto do Oeste";3;"2010"
"110018";"Pimenta Bueno";7;"2010"
"110020";"Porto Velho";307;"2010"
"110025";"Presidente Médici";2;"2010"
"110028";"Rolim de Moura";2;"2010"
"110030";"Vilhena";25;"2010"
"110033";"Nova Mamoré";2;"2010"
"110034";"Alvorada D'Oeste";1;"2010"
"110040";"Alto Paraíso";2;"2010"
"110045";"Buritis";2;"2010"
"110145";"Parecis";1;"2010"
"110150";"Seringueiras";1;"2010"
"120001";"Acrelândia";1;"2010"
"120010";"Brasiléia";5;"2010"
"120020";"Cruzeiro do Sul";41;"2010"
"120025";"Epitaciolândia";3;"2010"
"120030";"Feijó";10;"2010"
"120032";"Jordão";7;"2010"
"120033";"Mâncio Lima";2;"2010"
"120034";"Manoel Urbano";2;"2010"
"120035";"Marechal Thaumaturgo";2;"2010"
"120040";"Rio Branco";193;"2010"
"120042";"Rodrigues Alves";1;"2010"
"120043";"Santa Rosa do Purus";3;"2010"
"120045";"Senador Guiomard";1;"2010"
"120050";"Sena Madureira";8;"2010"
"120060";"Tarauacá";18;"2010"
"120070";"Xapuri";2;"2010"
"130002";"Alvarães";8;"2010"
"130006";"Amaturá";3;"2010"
"130008";"Anamã";1;"2010"
"130010";"Anori";3;"2010"
"130014";"Apuí";2;"2010"
"130020";"Atalaia do Norte";5;"2010"
"130030";"Autazes";8;"2010"
"130040";"Barcelos";3;"2010"
"130050";"Barreirinha";5;"2010"
"130060";"Benjamin Constant";23;"2010"
"130063";"Beruri";3;"2010"
"130068";"Boa Vista do Ramos";1;"2010"
"130070";"Boca do Acre";4;"2010"
"130080";"Borba";4;"2010"
"130090";"Canutama";3;"2010"
"130100";"Carauari";17;"2010"
"130110";"Careiro";2;"2010"
"130115";"Careiro da Várzea";2;"2010"
"130120";"Coari";21;"2010"
"130130";"Codajás";10;"2010"
"130140";"Eirunepé";37;"2010"
"130150";"Envira";8;"2010"
"130160";"Fonte Boa";4;"2010"
"130165";"Guajará";3;"2010"
"130170";"Humaitá";4;"2010"
"130180";"Ipixuna";2;"2010"
"130185";"Iranduba";8;"2010"
"130190";"Itacoatiara";18;"2010"
"130195";"Itamarati";2;"2010"
"130200";"Itapiranga";2;"2010"
"130210";"Japurá";1;"2010"
"130220";"Juruá";1;"2010"
"130230";"Jutaí";1;"2010"
"130240";"Lábrea";10;"2010"
"130250";"Manacapuru";20;"2010"
"130260";"Manaus";653;"2010"
"130270";"Manicoré";14;"2010"
"130280";"Maraã";8;"2010"
"130290";"Maués";14;"2010"
"130300";"Nhamundá";2;"2010"
"130310";"Nova Olinda do Norte";13;"2010"
"130320";"Novo Airão";1;"2010"
"130330";"Novo Aripuanã";4;"2010"
"130340";"Parintins";37;"2010"
"130350";"Pauini";2;"2010"
"130353";"Presidente Figueiredo";2;"2010"
"130356";"Rio Preto da Eva";5;"2010"
"130360";"Santa Isabel do Rio Negro";5;"2010"
"130370";"Santo Antônio do Içá";11;"2010"
"130380";"São Gabriel da Cachoeira";27;"2010"
"130390";"São Paulo de Olivença";15;"2010"
"130395";"São Sebastião do Uatumã";1;"2010"
"130400";"Silves";1;"2010"
"130406";"Tabatinga";45;"2010"
"130410";"Tapauá";4;"2010"
"130420";"Tefé";29;"2010"
"130426";"Uarini";13;"2010"
"130430";"Urucará";1;"2010"
"140002";"Amajari";2;"2010"
"140010";"Boa Vista";116;"2010"
"140015";"Bonfim";1;"2010"
"140023";"Caroebe";1;"2010"
"140040";"Normandia";1;"2010"
"140045";"Pacaraima";2;"2010"
"140047";"Rorainópolis";2;"2010"
"140050";"São João da Baliza";1;"2010"
"140070";"Uiramutã";1;"2010"
"150010";"Abaetetuba";27;"2010"
"150020";"Acará";3;"2010"
"150030";"Afuá";1;"2010"
"150040";"Alenquer";20;"2010"
"150050";"Almeirim";9;"2010"
"150060";"Altamira";80;"2010"
"150070";"Anajás";7;"2010"
"150080";"Ananindeua";84;"2010"
"150085";"Anapu";8;"2010"
"150090";"Augusto Corrêa";4;"2010"
"150095";"Aurora do Pará";2;"2010"
"150100";"Aveiro";1;"2010"
