"cod_ibge";"regiao";"uf";"municipio";"total";"ano"
"1100015";"Norte";"RO";"Alta Floresta D'Oeste";5;2010
"1100023";"Norte";"RO";"Ariquemes";29;2010
"1100049";"Norte";"RO";"Cacoal";14;2010
"1100064";"Norte";"RO";"Colorado do Oeste";2;2010
"1100072";"Norte";"RO";"Corumbiara";1;2010
"1100080";"Norte";"RO";"Costa Marques";1;2010
"1100098";"Norte";"RO";"Espigão D'Oeste";3;2010
"1100106";"Norte";"RO";"Guajará-Mirim";13;2010
"1100114";"Norte";"RO";"Jaru";8;2010
"1100122";"Norte";"RO";"Ji-Paraná";31;2010
"1100130";"Norte";"RO";"Machadinho D'Oeste";2;2010
"1100148";"Norte";"RO";"Nova Brasilândia D'Oeste";3;2010
"1100155";"Norte";"RO";"Ouro Preto do Oeste";3;2010
"1100189";"Norte";"RO";"Pimenta Bueno";7;2010
"1100205";"Norte";"RO";"Porto Velho";307;2010
"1100254";"Norte";"RO";"Presidente Médici";2;2010
"1100288";"Norte";"RO";"Rolim de Moura";2;2010
"1100304";"Norte";"RO";"Vilhena";25;2010
"1100338";"Norte";"RO";"Nova Mamoré";2;2010
"1100346";"Norte";"RO";"Alvorada D'Oeste";1;2010
"1100403";"Norte";"RO";"Alto Paraíso";2;2010
"1100452";"Norte";"RO";"Buritis";2;2010
"1101450";"Norte";"RO";"Parecis";1;2010
"1101500";"Norte";"RO";"Seringueiras";1;2010
"1200013";"Norte";"AC";"Acrelândia";1;2010
"1200104";"Norte";"AC";"Brasiléia";5;2010
"1200203";"Norte";"AC";"Cruzeiro do Sul";41;2010
"1200252";"Norte";"AC";"Epitaciolândia";3;2010
"1200302";"Norte";"AC";"Feijó";10;2010
"1200328";"Norte";"AC";"Jordão";7;2010
"1200336";"Norte";"AC";"Mâncio Lima";2;2010
"1200344";"Norte";"AC";"Manoel Urbano";2;2010
"1200351";"Norte";"AC";"Marechal Thaumaturgo";2;2010
"1200401";"Norte";"AC";"Rio Branco";193;2010
"1200427";"Norte";"AC";"Rodrigues Alves";1;2010
"1200435";"Norte";"AC";"Santa Rosa do Purus";3;2010
"1200450";"Norte";"AC";"Senador Guiomard";1;2010
"1200500";"Norte";"AC";"Sena Madureira";8;2010
"1200609";"Norte";"AC";"Tarauacá";18;2010
"1200708";"Norte";"AC";"Xapuri";2;2010
"1300029";"Norte";"AM";"Alvarães";8;2010
"1300060";"Norte";"AM";"Amaturá";3;2010
"1300086";"Norte";"AM";"Anamã";1;2010
"1300102";"Norte";"AM";"Anori";3;2010
"1300144";"Norte";"AM";"Apuí";2;2010
"1300201";"Norte";"AM";"Atalaia do Norte";5;2010
"1300300";"Norte";"AM";"Autazes";8;2010
"1300409";"Norte";"AM";"Barcelos";3;2010
"1300508";"Norte";"AM";"Barreirinha";5;2010
"1300607";"Norte";"AM";"Benjamin Constant";23;2010
"1300631";"Norte";"AM";"Beruri";3;2010
"1300680";"Norte";"AM";"Boa Vista do Ramos";1;2010
"1300706";"Norte";"AM";"Boca do Acre";4;2010
"1300805";"Norte";"AM";"Borba";4;2010
"1300904";"Norte";"AM";"Canutama";3;2010
"1301001";"Norte";"AM";"Carauari";17;2010
"1301100";"Norte";"AM";"Careiro";2;2010
"1301159";"Norte";"AM";"Careiro da Várzea";2;2010
"1301209";"Norte";"AM";"Coari";21;2010
"1301308";"Norte";"AM";"Codajás";10;2010
"1301407";"Norte";"AM";"Eirunepé";37;2010
"1301506";"Norte";"AM";"Envira";8;2010
"1301605";"Norte";"AM";"Fonte Boa";4;2010
"1301654";"Norte";"AM";"Guajará";3;2010
"1301704";"Norte";"AM";"Humaitá";4;2010
"1301803";"Norte";"AM";"Ipixuna";2;2010
"1301852";"Norte";"AM";"Iranduba";8;2010
"1301902";"Norte";"AM";"Itacoatiara";18;2010
"1301951";"Norte";"AM";"Itamarati";2;2010
"1302009";"Norte";"AM";"Itapiranga";2;2010
"1302108";"Norte";"AM";"Japurá";1;2010
"1302207";"Norte";"AM";"Juruá";1;2010
"1302306";"Norte";"AM";"Jutaí";1;2010
"1302405";"Norte";"AM";"Lábrea";10;2010
"1302504";"Norte";"AM";"Manacapuru";20;2010
"1302603";"Norte";"AM";"Manaus";653;2010
"1302702";"Norte";"AM";"Manicoré";14;2010
"1302801";"Norte";"AM";"Maraã";8;2010
"1302900";"Norte";"AM";"Maués";14;2010
"1303007";"Norte";"AM";"Nhamundá";2;2010
"1303106";"Norte";"AM";"Nova Olinda do Norte";13;2010
"1303205";"Norte";"AM";"Novo Airão";1;2010
"1303304";"Norte";"AM";"Novo Aripuanã";4;2010
"1303403";"Norte";"AM";"Parintins";37;2010
"1303502";"Norte";"AM";"Pauini";2;2010
"1303536";"Norte";"AM";"Presidente Figueiredo";2;2010
"1303569";"Norte";"AM";"Rio Preto da Eva";5;2010
"1303601";"Norte";"AM";"Santa Isabel do Rio Negro";5;2010
"1303700";"Norte";"AM";"Santo Antônio do Içá";11;2010
"1303809";"Norte";"AM";"São Gabriel da Cachoeira";27;2010
"1303908";"Norte";"AM";"São Paulo de Olivença";15;2010
"1303957";"Norte";"AM";"São Sebastião do Uatumã";1;2010
"1304005";"Norte";"AM";"Silves";1;2010
"1304062";"Norte";"AM";"Tabatinga";45;2010
"1304104";"Norte";"AM";"Tapauá";4;2010
"1304203";"Norte";"AM";"Tefé";29;2010
