"cod_ibge";"regiao";"uf";"municipio";"total_2010";"total_2011";"total_2012"
"1100015";"Norte";"RO";"Alta Floresta D'Oeste";5;3;1
"1100023";"Norte";"RO";"Ariquemes";29;15;14
"1100049";"Norte";"RO";"Cacoal";14;14;12
"1100080";"Norte";"RO";"Costa Marques";1;1;2
"1100098";"Norte";"RO";"Espigão D'Oeste";3;6;1
"1100106";"Norte";"RO";"Guajará-Mirim";13;5;3
"1100114";"Norte";"RO";"Jaru";8;2;6
"1100122";"Norte";"RO";"Ji-Paraná";31;10;10
"1100155";"Norte";"RO";"Ouro Preto do Oeste";3;6;3
"1100189";"Norte";"RO";"Pimenta Bueno";7;6;3
"1100205";"Norte";"RO";"Porto Velho";307;254;270
"1100254";"Norte";"RO";"Presidente Médici";2;1;1
"1100288";"Norte";"RO";"Rolim de Moura";2;4;3
"1100304";"Norte";"RO";"Vilhena";25;21;26
"1100452";"Norte";"RO";"Buritis";2;3;2
"1200013";"Norte";"AC";"Acrelândia";1;1;2
"1200104";"Norte";"AC";"Brasiléia";5;7;7
"1200203";"Norte";"AC";"Cruzeiro do Sul";41;39;37
"1200302";"Norte";"AC";"Feijó";10;12;11
"1200328";"Norte";"AC";"Jordão";7;16;9
"1200336";"Norte";"AC";"Mâncio Lima";2;1;1
"1200344";"Norte";"AC";"Manoel Urbano";2;1;4
"1200401";"Norte";"AC";"Rio Branco";193;155;169
"1200435";"Norte";"AC";"Santa Rosa do Purus";3;4;5
"1200500";"Norte";"AC";"Sena Madureira";8;12;9
"1200609";"Norte";"AC";"Tarauacá";18;21;23
"1200708";"Norte";"AC";"Xapuri";2;2;1
"1300029";"Norte";"AM";"Alvarães";8;3;4
"1300060";"Norte";"AM";"Amaturá";3;10;5
"1300086";"Norte";"AM";"Anamã";1;1;1
"1300102";"Norte";"AM";"Anori";3;3;3
"1300144";"Norte";"AM";"Apuí";2;2;5
"1300201";"Norte";"AM";"Atalaia do Norte";5;3;6
"1300300";"Norte";"AM";"Autazes";8;3;5
"1300409";"Norte";"AM";"Barcelos";3;2;16
"1300508";"Norte";"AM";"Barreirinha";5;5;4
"1300607";"Norte";"AM";"Benjamin Constant";23;7;22
"1300631";"Norte";"AM";"Beruri";3;4;3
"1300706";"Norte";"AM";"Boca do Acre";4;1;6
"1300805";"Norte";"AM";"Borba";4;5;5
"1300904";"Norte";"AM";"Canutama";3;3;1
"1301001";"Norte";"AM";"Carauari";17;12;22
"1301100";"Norte";"AM";"Careiro";2;1;4
"1301159";"Norte";"AM";"Careiro da Várzea";2;2;1
"1301209";"Norte";"AM";"Coari";21;29;16
"1301308";"Norte";"AM";"Codajás";10;6;6
"1301407";"Norte";"AM";"Eirunepé";37;28;32
"1301506";"Norte";"AM";"Envira";8;13;6
"1301605";"Norte";"AM";"Fonte Boa";4;11;8
"1301654";"Norte";"AM";"Guajará";3;2;3
"1301704";"Norte";"AM";"Humaitá";4;6;4
"1301803";"Norte";"AM";"Ipixuna";2;5;1
"1301852";"Norte";"AM";"Iranduba";8;4;2
"1301902";"Norte";"AM";"Itacoatiara";18;27;17
"1301951";"Norte";"AM";"Itamarati";2;3;3
"1302009";"Norte";"AM";"Itapiranga";2;2;4
"1302207";"Norte";"AM";"Juruá";1;2;3
"1302306";"Norte";"AM";"Jutaí";1;1;7
"1302405";"Norte";"AM";"Lábrea";10;16;18
"1302504";"Norte";"AM";"Manacapuru";20;19;14
"1302603";"Norte";"AM";"Manaus";653;667;689
"1302702";"Norte";"AM";"Manicoré";14;8;10
"1302801";"Norte";"AM";"Maraã";8;3;3
"1302900";"Norte";"AM";"Maués";14;11;21
"1303007";"Norte";"AM";"Nhamundá";2;4;1
"1303106";"Norte";"AM";"Nova Olinda do Norte";13;9;7
"1303205";"Norte";"AM";"Novo Airão";1;4;1
"1303304";"Norte";"AM";"Novo Aripuanã";4;1;4
"1303403";"Norte";"AM";"Parintins";37;43;33
"1303502";"Norte";"AM";"Pauini";2;3;5
"1303569";"Norte";"AM";"Rio Preto da Eva";5;1;4
"1303601";"Norte";"AM";"Santa Isabel do Rio Negro";5;7;9
"1303700";"Norte";"AM";"Santo Antônio do Içá";11;4;22
"1303809";"Norte";"AM";"São Gabriel da Cachoeira";27;33;30
"1303908";"Norte";"AM";"São Paulo de Olivença";15;22;33
"1303957";"Norte";"AM";"São Sebastião do Uatumã";1;4;2
"1304005";"Norte";"AM";"Silves";1;1;2
"1304062";"Norte";"AM";"Tabatinga";45;36;38
"1304104";"Norte";"AM";"Tapauá";4;4;7
"1304203";"Norte";"AM";"Tefé";29;32;38
"1304260";"Norte";"AM";"Uarini";13;5;6
"1304302";"Norte";"AM";"Urucará";1;1;3
"1400100";"Norte";"RR";"Boa Vista";116;106;126
"1400472";"Norte";"RR";"Rorainópolis";2;7;2
"1400704";"Norte";"RR";"Uiramutã";1;1;2
"1500107";"Norte";"PA";"Abaetetuba";27;11;23
"1500206";"Norte";"PA";"Acará";3;3;1
"1500305";"Norte";"PA";"Afuá";1;2;6
"1500404";"Norte";"PA";"Alenquer";20;31;26
"1500503";"Norte";"PA";"Almeirim";9;9;10
"1500602";"Norte";"PA";"Altamira";80;80;70
"1500701";"Norte";"PA";"Anajás";7;5;6
"1500800";"Norte";"PA";"Ananindeua";84;85;65
"1500859";"Norte";"PA";"Anapu";8;6;5
"1500909";"Norte";"PA";"Augusto Corrêa";4;2;2
"1500958";"Norte";"PA";"Aurora do Pará";2;4;1
"1501204";"Norte";"PA";"Baião";3;6;5
"1501303";"Norte";"PA";"Barcarena";14;8;5
"1501402";"Norte";"PA";"Belém";866;882;822
"1501501";"Norte";"PA";"Benevides";1;2;3
"1501709";"Norte";"PA";"Bragança";67;71;70
"1501725";"Norte";"PA";"Brasil Novo";1;1;2
"1501782";"Norte";"PA";"Breu Branco";2;1;2
"1501808";"Norte";"PA";"Breves";48;67;73
"1501907";"Norte";"PA";"Bujaru";1;2;1
"1502004";"Norte";"PA";"Cachoeira do Arari";2;3;3
"1502103";"Norte";"PA";"Cametá";59;56;46
"1502152";"Norte";"PA";"Canaã dos Carajás";4;7;7
"1502202";"Norte";"PA";"Capanema";25;28;28
"1502301";"Norte";"PA";"Capitão Poço";8;7;4
"1502400";"Norte";"PA";"Castanhal";49;47;38
"1502707";"Norte";"PA";"Conceição do Araguaia";3;7;8
"1502756";"Norte";"PA";"Concórdia do Pará";5;3;7
"1502764";"Norte";"PA";"Cumaru do Norte";1;1;3
"1502806";"Norte";"PA";"Curralinho";5;6;6
"1502905";"Norte";"PA";"Curuçá";1;2;1
"1502939";"Norte";"PA";"Dom Eliseu";10;4;2
"1502954";"Norte";"PA";"Eldorado do Carajás";5;2;6
"1503044";"Norte";"PA";"Floresta do Araguaia";2;3;2
"1503093";"Norte";"PA";"Goianésia do Pará";4;5;2
"1503101";"Norte";"PA";"Gurupá";5;5;4
"1503309";"Norte";"PA";"Igarapé-Miri";12;8;7
"1503457";"Norte";"PA";"Ipixuna do Pará";6;3;4
"1503606";"Norte";"PA";"Itaituba";45;35;38
"1503705";"Norte";"PA";"Itupiranga";4;5;5
"1503754";"Norte";"PA";"Jacareacanga";14;4;9
"1503804";"Norte";"PA";"Jacundá";11;7;8
"1503903";"Norte";"PA";"Juruti";23;16;15
"1504000";"Norte";"PA";"Limoeiro do Ajuru";2;4;8
"1504059";"Norte";"PA";"Mãe do Rio";7;6;5
"1504208";"Norte";"PA";"Marabá";132;106;96
"1504422";"Norte";"PA";"Marituba";16;17;16
"1504455";"Norte";"PA";"Medicilândia";3;2;3
"1504505";"Norte";"PA";"Melgaço";2;6;3
"1504604";"Norte";"PA";"Mocajuba";6;10;4
"1504703";"Norte";"PA";"Moju";13;7;6
"1504802";"Norte";"PA";"Monte Alegre";24;13;19
"1504901";"Norte";"PA";"Muaná";8;8;10
"1504950";"Norte";"PA";"Nova Esperança do Piriá";7;1;4
"1505031";"Norte";"PA";"Novo Progresso";16;9;8
"1505064";"Norte";"PA";"Novo Repartimento";6;4;5
"1505106";"Norte";"PA";"Óbidos";18;15;13
"1505205";"Norte";"PA";"Oeiras do Pará";9;16;10
"1505304";"Norte";"PA";"Oriximiná";15;22;28
"1505437";"Norte";"PA";"Ourilândia do Norte";10;9;9
"1505486";"Norte";"PA";"Pacajá";8;8;6
"1505502";"Norte";"PA";"Paragominas";30;24;21
"1505536";"Norte";"PA";"Parauapebas";49;42;45
"1505551";"Norte";"PA";"Pau D'Arco";2;1;1
"1505650";"Norte";"PA";"Placas";3;1;2
"1505700";"Norte";"PA";"Ponta de Pedras";2;2;5
"1505809";"Norte";"PA";"Portel";8;15;5
"1505908";"Norte";"PA";"Porto de Moz";5;6;6
"1506005";"Norte";"PA";"Prainha";6;10;11
"1506138";"Norte";"PA";"Redenção";52;58;58
"1506161";"Norte";"PA";"Rio Maria";1;2;2
"1506187";"Norte";"PA";"Rondon do Pará";15;11;6
"1506195";"Norte";"PA";"Rurópolis";3;7;7
"1506203";"Norte";"PA";"Salinópolis";7;2;4
"1506302";"Norte";"PA";"Salvaterra";7;7;6
"1506500";"Norte";"PA";"Santa Izabel do Pará";8;3;3
"1506559";"Norte";"PA";"Santa Luzia do Pará";1;1;1
"1506708";"Norte";"PA";"Santana do Araguaia";4;6;2
"1506807";"Norte";"PA";"Santarém";152;147;148
"1507003";"Norte";"PA";"Santo Antônio do Tauá";1;2;1
"1507102";"Norte";"PA";"São Caetano de Odivelas";2;1;1
"1507201";"Norte";"PA";"São Domingos do Capim";1;2;2
"1507300";"Norte";"PA";"São Félix do Xingu";11;11;16
"1507458";"Norte";"PA";"São Geraldo do Araguaia";4;2;3
"1507607";"Norte";"PA";"São Miguel do Guamá";6;7;4
"1507706";"Norte";"PA";"São Sebastião da Boa Vista";10;7;5
"1507805";"Norte";"PA";"Senador José Porfírio";2;1;4
"1507904";"Norte";"PA";"Soure";6;6;9
"1507953";"Norte";"PA";"Tailândia";19;24;13
"1507979";"Norte";"PA";"Terra Santa";2;3;2
